Item,Description,Cost,Price
6670705,"SWITCH, PRESSURE OIL HYD",32.55,69.72
6670706,CONNECTOR,5.76,25.29
6670707,CONNECTOR,5.25,21.669999999999998
6670710,PLUG,3.49,15.39
6670715,SOCKET,1.83,14.25
6670721,"CUSHION, SEAT BACK MX",128.08,214.99
6670726,LOCK ONLY,5.34,23.58
6670727,STARTER,211.73,376.55999999999995
6670729,GAS SPRING,42.87,90.79
6670757,"COUPLER, FLANGE",37.43,102.55000000000001
6670769,O RING,1.5,8.07
6670776,"SOLENOID, FUEL SHUT-OFF",137.23,246.07
6670777,SHIM,4.44,17.990000000000002
6670782,GASKET,1.41,7.63
6670804,COUPLER KIT,270.97,418.63
6670805,COUPLER,84.52,142.95999999999998
6670807,SPIDER,12.74,37.17
6670817,DRIVE MOTOR,2582.22,3158.79
6670831,ELBOW,12.58,37.709999999999994
6670850,FLOAT,15.95,37.39
6670863,GAS SPRING,29.16,74.33000000000001
6670865,"BELT, SEAT",80.78,151.71
6670866,OIL PAN,347.85,551.97
6670867,"LATCH, REAR DOOR",70.46,130.35
6670872,"TIMER,FUEL SHUT-OFF",83.41,135.9
6670926,INJECTOR,193.5,278.71
6670929,WASHER,9.21,18.11
6670951,GASKET,24.96,52.77
6670960,SCREW,3.03,16.22
6670989,GLOW PLUG,38.64,91.62
6670995,FILTER,123.82,164.95999999999998
6670996,FUEL FILTER,34.08,46.559999999999995
6671003,FILTER,191.53,218.73000000000002
6671014,STARTER,75.48,289.13
6671014COR,CORE CHARGE,0.0,95.72
6671014REM,STARTER REMAN,210.72,343.24
6671025,"COIL, SOLENOID",38.15,95.22
6671026,COIL,41.72,94.03999999999999
6671036,LIGHT,13.96,44.4
6671041,"KIT, SEAL",45.45,123.19
6671057,"FILTER, OIL ENG",7.79,13.61
6671062,"SWITCH, PRESS OIL HYD",26.56,69.06
6671106,ALARM,15.43,46.46
6671113,SWITCH,27.11,57.01
6671138,"SEAL, OIL",7.66,17.77
6671508,"PUMP, WATER",383.19,560.61
6671510,RELIEF VALVE,149.88,252.17000000000002
6671516,SEAL KIT,127.52,204.52999999999997
6671520,O RING,1.71,9.23
6671527,NUT,5.95,17.990000000000002
6671528,SEAL,1.73,6.32
6671619,HOSE,55.56,113.2
6671625,PIPE,47.48,117.21
6671628,NUT,13.31,37.95
6671649,FUEL FILTER,27.39,39.33
6671669,"MODULE, CONTROL AUX",273.46,433.49
6671708,CHECK VALVE,29.61,81.12
6671713,HOSE,45.08,120.46000000000001
6671714,HOSE,49.59,129.72
6671741,SNAP RING,3.63,14.73
6671760,COVER,62.78,151.36
6671821,O RING,3.05,14.71
6671906,BEARING,24.62,64.05
6671921,O-RING,1.62,8.64
6671922,O-RING,5.17,21.939999999999998
6671932,SNAP RING,10.78,39.52
6671934,O'RING,27.08,44.3
6671962,"BEARING, BALL",51.78,95.99
6671969,FILTER,9.38,30.12
6671984,BEARING,6.37,26.43
6671985,BEARING,4.41,19.85
6671987,BEARING,2.69,16.17
